sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,total
126,BKS_BL_SH_01,2025-07-08,brooks,shore,NA,grab,anatoxin,0
126,BKS_BL_SH_01,2025-07-08,brooks,shore,NA,grab,cylindrospermopsin,0
126,BKS_BL_SH_01,2025-07-08,brooks,shore,NA,grab,microcystin,0
126,BKS_BL_SH_01,2025-07-08,brooks,shore,NA,grab,nodularin,0
127,BKS_BL_SH_02,2025-07-08,brooks,shore,NA,grab,anatoxin,0
127,BKS_BL_SH_02,2025-07-08,brooks,shore,NA,grab,cylindrospermopsin,0
127,BKS_BL_SH_02,2025-07-08,brooks,shore,NA,grab,microcystin,0
127,BKS_BL_SH_02,2025-07-08,brooks,shore,NA,grab,nodularin,0
128,BKS_BL_SH_03,2025-07-08,brooks,shore,NA,grab,anatoxin,0
128,BKS_BL_SH_03,2025-07-08,brooks,shore,NA,grab,cylindrospermopsin,0
128,BKS_BL_SH_03,2025-07-08,brooks,shore,NA,grab,microcystin,0
128,BKS_BL_SH_03,2025-07-08,brooks,shore,NA,grab,nodularin,0
129,BKS_BL_SH_04,2025-07-08,brooks,shore,NA,grab,anatoxin,0
129,BKS_BL_SH_04,2025-07-08,brooks,shore,NA,grab,cylindrospermopsin,0
129,BKS_BL_SH_04,2025-07-08,brooks,shore,NA,grab,microcystin,0.378075963
129,BKS_BL_SH_04,2025-07-08,brooks,shore,NA,grab,nodularin,0
130,BKS_BL_SH_05,2025-07-08,brooks,shore,NA,grab,anatoxin,0
130,BKS_BL_SH_05,2025-07-08,brooks,shore,NA,grab,cylindrospermopsin,0
130,BKS_BL_SH_05,2025-07-08,brooks,shore,NA,grab,microcystin,0.366535489
130,BKS_BL_SH_05,2025-07-08,brooks,shore,NA,grab,nodularin,0
131,BKS_BL_SH_06,2025-07-08,brooks,shore,NA,grab,anatoxin,0
131,BKS_BL_SH_06,2025-07-08,brooks,shore,NA,grab,cylindrospermopsin,0
131,BKS_BL_SH_06,2025-07-08,brooks,shore,NA,grab,microcystin,0.316108635
131,BKS_BL_SH_06,2025-07-08,brooks,shore,NA,grab,nodularin,0
132,BKS_BL_SH_07,2025-07-08,brooks,shore,NA,grab,anatoxin,0
132,BKS_BL_SH_07,2025-07-08,brooks,shore,NA,grab,cylindrospermopsin,0
132,BKS_BL_SH_07,2025-07-08,brooks,shore,NA,grab,microcystin,0
132,BKS_BL_SH_07,2025-07-08,brooks,shore,NA,grab,nodularin,0
135,BKS_BL_BU_SS,2025-07-08,brooks,buoy,surface,grab,anatoxin,0
135,BKS_BL_BU_SS,2025-07-08,brooks,buoy,surface,grab,cylindrospermopsin,0
135,BKS_BL_BU_SS,2025-07-08,brooks,buoy,surface,grab,microcystin,0
135,BKS_BL_BU_SS,2025-07-08,brooks,buoy,surface,grab,nodularin,0
136,BKS_BL_BU_DD,2025-07-08,brooks,buoy,bottom,grab,anatoxin,0
136,BKS_BL_BU_DD,2025-07-08,brooks,buoy,bottom,grab,cylindrospermopsin,0
136,BKS_BL_BU_DD,2025-07-08,brooks,buoy,bottom,grab,microcystin,0
136,BKS_BL_BU_DD,2025-07-08,brooks,buoy,bottom,grab,nodularin,0
137,BKS_UB_SH_08,2025-07-09,upper brooks,shore,NA,grab,anatoxin,0
137,BKS_UB_SH_08,2025-07-09,upper brooks,shore,NA,grab,cylindrospermopsin,0
137,BKS_UB_SH_08,2025-07-09,upper brooks,shore,NA,grab,microcystin,0
137,BKS_UB_SH_08,2025-07-09,upper brooks,shore,NA,grab,nodularin,0
138,BKS_UB_SH_09,2025-07-09,upper brooks,shore,NA,grab,anatoxin,0
138,BKS_UB_SH_09,2025-07-09,upper brooks,shore,NA,grab,cylindrospermopsin,0
138,BKS_UB_SH_09,2025-07-09,upper brooks,shore,NA,grab,microcystin,0.286504811
138,BKS_UB_SH_09,2025-07-09,upper brooks,shore,NA,grab,nodularin,0
139,BKS_UB_BU_SS,2025-07-09,upper brooks,buoy,surface,grab,anatoxin,0
139,BKS_UB_BU_SS,2025-07-09,upper brooks,buoy,surface,grab,cylindrospermopsin,0
139,BKS_UB_BU_SS,2025-07-09,upper brooks,buoy,surface,grab,microcystin,0.376068924
139,BKS_UB_BU_SS,2025-07-09,upper brooks,buoy,surface,grab,nodularin,0
140,BKS_UB_BU_DD,2025-07-09,upper brooks,buoy,bottom,grab,anatoxin,0
140,BKS_UB_BU_DD,2025-07-09,upper brooks,buoy,bottom,grab,cylindrospermopsin,0
140,BKS_UB_BU_DD,2025-07-09,upper brooks,buoy,bottom,grab,microcystin,0
140,BKS_UB_BU_DD,2025-07-09,upper brooks,buoy,bottom,grab,nodularin,0
141,BKS_RN_SH_10,2025-07-09,rainbow,shore,NA,grab,anatoxin,0
141,BKS_RN_SH_10,2025-07-09,rainbow,shore,NA,grab,cylindrospermopsin,0
141,BKS_RN_SH_10,2025-07-09,rainbow,shore,NA,grab,microcystin,0.591170112
141,BKS_RN_SH_10,2025-07-09,rainbow,shore,NA,grab,nodularin,0
142,BKS_RN_BU_SS,2025-07-09,rainbow,buoy,surface,grab,anatoxin,0
142,BKS_RN_BU_SS,2025-07-09,rainbow,buoy,surface,grab,cylindrospermopsin,0
142,BKS_RN_BU_SS,2025-07-09,rainbow,buoy,surface,grab,microcystin,0.428502817
142,BKS_RN_BU_SS,2025-07-09,rainbow,buoy,surface,grab,nodularin,0
143,BKS_RN_BU_DD,2025-07-09,rainbow,buoy,bottom,grab,anatoxin,0
143,BKS_RN_BU_DD,2025-07-09,rainbow,buoy,bottom,grab,cylindrospermopsin,0
143,BKS_RN_BU_DD,2025-07-09,rainbow,buoy,bottom,grab,microcystin,0.417464103
143,BKS_RN_BU_DD,2025-07-09,rainbow,buoy,bottom,grab,nodularin,0
144,BKS_LJ_BU_SS,2025-07-09,lower jade,buoy,surface,grab,anatoxin,0
144,BKS_LJ_BU_SS,2025-07-09,lower jade,buoy,surface,grab,cylindrospermopsin,0
144,BKS_LJ_BU_SS,2025-07-09,lower jade,buoy,surface,grab,microcystin,0.267939701
144,BKS_LJ_BU_SS,2025-07-09,lower jade,buoy,surface,grab,nodularin,0
145,BKS_LJ_BU_DD,2025-07-09,lower jade,buoy,bottom,grab,anatoxin,0
145,BKS_LJ_BU_DD,2025-07-09,lower jade,buoy,bottom,grab,cylindrospermopsin,0
145,BKS_LJ_BU_DD,2025-07-09,lower jade,buoy,bottom,grab,microcystin,0
145,BKS_LJ_BU_DD,2025-07-09,lower jade,buoy,bottom,grab,nodularin,0
148,BYS_BR_SH_01,2025-07-10,boysen,shore,NA,grab,anatoxin,0
148,BYS_BR_SH_01,2025-07-10,boysen,shore,NA,grab,cylindrospermopsin,0
148,BYS_BR_SH_01,2025-07-10,boysen,shore,NA,grab,microcystin,0.46086632
148,BYS_BR_SH_01,2025-07-10,boysen,shore,NA,grab,nodularin,0
149,BYS_PC_SH_02,2025-07-10,boysen,shore,NA,grab,anatoxin,0
149,BYS_PC_SH_02,2025-07-10,boysen,shore,NA,grab,cylindrospermopsin,0
149,BYS_PC_SH_02,2025-07-10,boysen,shore,NA,grab,microcystin,0.321627993
149,BYS_PC_SH_02,2025-07-10,boysen,shore,NA,grab,nodularin,0
