sample_number,site_id,date,sample_type,method,ng_m_l,lake,site_type,depth_category,ng_g_resin,congener,value
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,rr,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,yr,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lr,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,la,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,dm_lr,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,ly,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,nod,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lf,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,wr,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,atx,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,hatx,0
126,BKS_BL_SH_01,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,cyl,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,rr,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,yr,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lr,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,la,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,dm_lr,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,ly,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,nod,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lf,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,wr,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,atx,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,hatx,0
127,BKS_BL_SH_02,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,cyl,0
128,BKS_BL_SH_03,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,rr,0
128,BKS_BL_SH_03,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,yr,0
128,BKS_BL_SH_03,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lr,0
