sample_number,site_id,date,sample_type,method,rr,yr,lr,la,dm_lr,ly,nod,lf,wr,atx,hatx,cyl,ng_m_l,lake,site_type,depth_category,ng_g_resin
126,BKS_BL_SH_01,2025-07-08,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
127,BKS_BL_SH_02,2025-07-08,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
128,BKS_BL_SH_03,2025-07-08,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
129,BKS_BL_SH_04,2025-07-08,regular,grab,0,0,0.378075963,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
130,BKS_BL_SH_05,2025-07-08,regular,grab,0,0,0.366535489,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
131,BKS_BL_SH_06,2025-07-08,regular,grab,0,0,0.316108635,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
132,BKS_BL_SH_07,2025-07-08,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
135,BKS_BL_BU_SS,2025-07-08,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,surface,NA
136,BKS_BL_BU_DD,2025-07-08,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,buoy,bottom,NA
137,BKS_UB_SH_08,2025-07-09,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
138,BKS_UB_SH_09,2025-07-09,regular,grab,0,0,0.286504811,0,0,0,0,0,0,0,0,0,NA,upper brooks,shore,NA,NA
139,BKS_UB_BU_SS,2025-07-09,regular,grab,0,0,0.376068924,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,surface,NA
140,BKS_UB_BU_DD,2025-07-09,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,upper brooks,buoy,bottom,NA
141,BKS_RN_SH_10,2025-07-09,regular,grab,0.054788951,0,0.536381161,0,0,0,0,0,0,0,0,0,NA,rainbow,shore,NA,NA
142,BKS_RN_BU_SS,2025-07-09,regular,grab,0,0,0.428502817,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,surface,NA
143,BKS_RN_BU_DD,2025-07-09,regular,grab,0,0,0.417464103,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,bottom,NA
144,BKS_LJ_BU_SS,2025-07-09,regular,grab,0,0,0.267939701,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,surface,NA
145,BKS_LJ_BU_DD,2025-07-09,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,lower jade,buoy,bottom,NA
146,BKS_RN_BU_SS,2025-07-09,duplicate,grab,0,0,0.32714735,0,0,0,0,0,0,0,0,0,NA,rainbow,buoy,surface,NA
148,BYS_BR_SH_01,2025-07-10,regular,grab,0,0,0.46086632,0,0,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
149,BYS_PC_SH_02,2025-07-10,regular,grab,0,0,0.321627993,0,0,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
150,BYS_FR_SH_03,2025-07-10,regular,grab,0,0,0.251883389,0,0,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
151,BYS_CR_SH_04,2025-07-10,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
154,BYS_PC_SH_02,2025-07-10,duplicate,grab,0,0,0.273208177,0,0,0,0,0,0,0,0,0,NA,boysen,shore,NA,NA
155,GRAB_BLANK,2025-07-09,blank,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,blank,NA,NA,NA
164,BKS_BL_SH_01,2025-07-21,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
165,BKS_BL_SH_02,2025-07-21,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
166,BKS_BL_SH_03,2025-07-21,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
167,BKS_BL_SH_04,2025-07-21,regular,grab,0,0,0,0,0,0,0,0,0,0,0,0,NA,brooks,shore,NA,NA
