sample_number,site_id,date,method,sample_type,status,lake,site_type,depth_category,has_grab_result,has_spatt_result,status_final
044,SPATT_BLANK,2025-06-25,spatt,blank,collected,blank,NA,NA,FALSE,FALSE,collected
045,SPATT_BLANK,2025-06-25,spatt,blank,collected,blank,NA,NA,FALSE,FALSE,collected
046,BKS_BL_SH_01,2025-06-25,spatt,regular,collected,brooks,shore,NA,FALSE,FALSE,collected
047,BKS_BL_SH_01,2025-06-24,grab,regular,collected,brooks,shore,NA,FALSE,FALSE,collected
048,BKS_BL_SH_02,2025-06-25,spatt,regular,lost,brooks,shore,NA,FALSE,FALSE,lost
049,BKS_BL_SH_02,2025-06-25,grab,regular,collected,brooks,shore,NA,FALSE,FALSE,collected
050,BKS_BL_SH_03,2025-06-24,spatt,regular,lost,brooks,shore,NA,FALSE,FALSE,lost
051,BKS_BL_SH_03,2025-06-25,grab,regular,collected,brooks,shore,NA,FALSE,FALSE,collected
052,BKS_BL_SH_04,2025-06-24,spatt,regular,lost,brooks,shore,NA,FALSE,FALSE,lost
053,BKS_BL_SH_04,2025-06-25,grab,regular,collected,brooks,shore,NA,FALSE,FALSE,collected
054,BKS_BL_SH_05,2025-06-24,spatt,regular,lost,brooks,shore,NA,FALSE,FALSE,lost
055,BKS_BL_SH_05,2025-06-25,grab,regular,collected,brooks,shore,NA,FALSE,FALSE,collected
056,BKS_BL_SH_06,2025-06-24,spatt,regular,lost,brooks,shore,NA,FALSE,FALSE,lost
057,BKS_BL_SH_06,2025-06-24,grab,regular,collected,brooks,shore,NA,FALSE,FALSE,collected
058,BKS_BL_SH_07,2025-06-24,spatt,regular,lost,brooks,shore,NA,FALSE,FALSE,lost
059,BKS_BL_SH_07,2025-06-25,grab,regular,collected,brooks,shore,NA,FALSE,FALSE,collected
060,BKS_BL_BU_SS,2025-06-25,spatt,regular,collected,brooks,buoy,surface,FALSE,FALSE,collected
061,BKS_BL_BU_SS,2025-06-24,grab,regular,collected,brooks,buoy,surface,FALSE,FALSE,collected
062,BKS_BL_BU_DD,2025-06-25,spatt,regular,collected,brooks,buoy,bottom,FALSE,FALSE,collected
063,BKS_BL_BU_DD,2025-06-25,grab,regular,collected,brooks,buoy,bottom,FALSE,FALSE,collected
064,BKS_BL_SH_01,2025-07-21,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
065,BKS_BL_SH_02,2025-07-21,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
066,BKS_BL_SH_03,2025-07-21,spatt,regular,shipped,brooks,shore,NA,FALSE,TRUE,analyzed
